1788381647 PING-A
1788381649 PING-A
1788381650 PING-A
1788381651 PING-A
1788381653 PING-A
1788381654 PING-A
1788381655 PING-A
1788381656 PING-A
1788381658 PING-A
1788381659 PING-A
1788381660 PING-A
1788381662 PING-A
1788381663 PING-A
1788381664 PING-A
1788381665 PING-A
1788381666 PING-A
1788381668 PING-A
1788381669 PING-A
1788381670 PING-A
1788381672 PING-A
1788381673 PING-A
1788381674 PING-A
1788381675 PING-A
1788381677 PING-A
1788381678 PING-A
1788381679 PING-A
1788381681 PING-A
1788381682 PING-A
1788381683 PING-A
1788381684 PING-A
1788381686 PING-A
1788381687 PING-A
1788381688 PING-A
1788381690 PING-A
1788381691 PING-A
1788381692 PING-A
1788381693 PING-A
1788381695 PING-A
1788381696 PING-A
1788381697 PING-A
1788381698 PING-A
1788381700 PING-A
1788381701 PING-A
1788381702 PING-A
1788381703 PING-A
1788381705 PING-A
1788381706 PING-A
1788381707 PING-A
1788381708 PING-A
1788381710 PING-A
1788381711 PING-A
1788381712 PING-A
1788381714 PING-A
1788381715 PING-A
1788381716 PING-A
1788381717 PING-A
1788381719 PING-A
1788381720 PING-A
1788381721 PING-A
1788381723 PING-A
1788381724 PING-A
1788381725 PING-A
1788381726 PING-A
1788381728 PING-A
1788381729 PING-A
1788381730 PING-A
1788381732 PING-A
1788381733 PING-A
1788382468 A1 ping; homing on you; plz send goal-xy
1788384572 A1 here: d11=0.787 hdg=290.5 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384573 A1 here: d11=0.773 hdg=292.0 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384574 A1 ping; homing on you; plz send goal-xy
1788384576 A1 here: d11=0.779 hdg=325.3 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384577 A1 here: d11=0.768 hdg=336.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384578 A1 here: d11=0.784 hdg=335.4 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384579 A1 ping; homing on you; plz send goal-xy
1788384581 A1 here: d11= hdg=280.6 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384582 A1 here: d11=0.789 hdg=248.0 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384583 A1 here: d11=0.775 hdg=251.2 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384584 A1 here: d11=0.762 hdg=250.0 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384585 A1 ping; homing on you; plz send goal-xy
1788384587 A1 here: d11=0.773 hdg=294.7 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384588 A1 here: d11=0.773 hdg=292.2 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384589 A1 here: d11=0.783 hdg=293.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384590 A1 ping; homing on you; plz send goal-xy
1788384591 A1 here: d11=0.766 hdg=221.1 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384593 A1 here: d11=0.773 hdg=212.6 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384594 A1 here: d11=0.785 hdg=211.2 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384595 A1 here: d11=0.789 hdg=250.8 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384596 A1 ping; homing on you; plz send goal-xy
1788384598 A1 here: d11=0.787 hdg=270.4 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384599 A1 here: d11=0.779 hdg=267.2 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384600 A1 here: d11=0.781 hdg=268.4 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384601 A1 ping; homing on you; plz send goal-xy
1788384602 A1 here: d11=0.808 hdg=264.0 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384604 A1 here: d11=0.796 hdg=304.0 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384605 A1 here: d11=0.797 hdg=304.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384606 A1 ping; homing on you; plz send goal-xy
1788384607 A1 here: d11=0.772 hdg=278.1 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384609 A1 here: d11=0.793 hdg=235.2 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384610 A1 here: d11=0.785 hdg=224.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384611 A1 here: d11=0.792 hdg=225.1 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384612 A1 ping; homing on you; plz send goal-xy
1788384613 A1 here: d11=0.779 hdg=142.5 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384615 A1 here: d11=0.787 hdg=96.1 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384616 A1 here: d11=0.797 hdg=76.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384617 A1 ping; homing on you; plz send goal-xy
1788384618 A1 here: d11=0.784 hdg=135.4 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384619 A1 here: d11=0.788 hdg=136.5 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384621 A1 here: d11=0.794 hdg=155.8 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384622 A1 here: d11=0.792 hdg=174.2 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384623 A1 ridge d11=0.796
1788384624 A1 here: d11=0.786 hdg=203.3 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384626 A1 here: d11=0.790 hdg=232.5 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384627 A1 here: d11=0.791 hdg=229.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384628 A1 here: d11=0.789 hdg=250.5 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384629 A1 here: d11=0.810 hdg=268.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384630 A1 here: d11=0.807 hdg=269.8 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384632 A1 here: d11=0.800 hdg=266.4 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384633 A1 here: d11=0.804 hdg=266.8 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384634 A1 ping; homing on you; plz send goal-xy
1788384635 A1 here: d11=0.806 hdg=269.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384637 A1 here: d11=0.790 hdg=266.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384638 A1 here: d11=0.812 hdg=267.5 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384639 A1 here: d11=0.802 hdg=300.8 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384640 A1 here: d11=0.789 hdg=312.1 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384641 A1 here: d11=0.811 hdg=309.5 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384643 A1 here: d11=0.815 hdg=296.4 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384644 A1 here: d11=0.798 hdg=254.4 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384645 A1 ping; homing on you; plz send goal-xy
1788384646 A1 here: d11=0.805 hdg=229.5 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384647 A1 here: d11=0.798 hdg=269.3 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384649 A1 here: d11=0.802 hdg=308.6 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384650 A1 ping; homing on you; plz send goal-xy
1788384651 A1 here: d11=0.794 hdg=356.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384652 A1 here: d11=0.801 hdg=333.4 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384654 A1 here: d11=0.810 hdg=288.7 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384655 A1 here: d11=0.805 hdg=241.2 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384656 A1 here: d11=0.803 hdg=208.0 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384657 A1 here: d11=0.809 hdg=204.0 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384658 A1 here: d11=0.797 hdg=219.6 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384660 A1 here: d11=0.812 hdg=259.4 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384661 A1 ping; homing on you; plz send goal-xy
1788384662 A1 here: d11=0.802 hdg=319.8 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384663 A1 here: d11=0.802 hdg=314.2 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384665 A1 here: d11=0.796 hdg=319.0 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384666 A1 here: d11=0.793 hdg=321.6 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384667 A1 here: d11=0.797 hdg=3.5 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384668 A1 here: d11=0.803 hdg=1.2 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384669 A1 here: d11=0.801 hdg=344.5 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384671 A1 here: d11=0.807 hdg=298.5 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384672 A1 ping; homing on you; plz send goal-xy
1788384673 A1 here: d11=0.803 hdg=276.2 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384674 A1 ridge d11=0.807
1788384676 A1 here: d11=0.809 hdg=276.7 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384677 A1 here: d11=0.805 hdg=275.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384678 A1 here: d11=0.791 hdg=291.7 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384679 A1 here: d11=0.799 hdg=317.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384680 A1 here: d11=0.821 hdg=318.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384682 A1 here: d11=0.810 hdg=319.1 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384683 A1 ping; homing on you; plz send goal-xy
1788384684 A1 here: d11=0.797 hdg=236.2 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384685 A1 here: d11=0.819 hdg=234.3 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384687 A1 here: d11=0.803 hdg=262.5 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384688 A1 here: d11=0.797 hdg=301.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384689 A1 ping; homing on you; plz send goal-xy
1788384690 A1 here: d11=0.809 hdg=8.2 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384692 A1 here: d11=0.792 hdg=358.3 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384693 A1 here: d11=0.799 hdg=314.3 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384694 A1 here: d11=0.804 hdg=267.6 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384695 A1 here: d11=0.794 hdg=223.8 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384696 A1 here: d11=0.812 hdg=213.7 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384698 A1 here: d11=0.814 hdg=211.8 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384699 A1 here: d11=0.809 hdg=258.1 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384700 A1 ping; homing on you; plz send goal-xy
1788384701 A1 here: d11=0.820 hdg=275.4 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384703 A1 here: d11=0.826 hdg=277.6 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384704 A1 here: d11=0.817 hdg=301.8 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384705 A1 here: d11=0.811 hdg=318.5 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384706 A1 here: d11=0.803 hdg=315.0 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384707 A1 here: d11=0.808 hdg=311.6 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384709 A1 here: d11=0.802 hdg=263.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384710 A1 here: d11=0.817 hdg=238.2 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384711 A1 ping; homing on you; plz send goal-xy
1788384712 A1 here: d11=0.805 hdg=262.4 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384714 A1 here: d11=0.819 hdg=288.2 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384715 A1 here: d11=0.808 hdg=284.3 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384716 A1 here: d11=0.794 hdg=283.8 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384717 A1 here: d11=0.812 hdg=299.7 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384718 A1 here: d11=0.804 hdg=325.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384720 A1 here: d11=0.796 hdg=331.7 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384721 A1 here: d11=0.797 hdg=324.2 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384722 A1 ping; homing on you; plz send goal-xy
1788384723 A1 here: d11=0.788 hdg=239.8 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384725 A1 here: d11=0.801 hdg=243.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384726 A1 here: d11=0.798 hdg=262.5 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384727 A1 here: d11=0.784 hdg=308.6 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384728 A1 ping; homing on you; plz send goal-xy
1788384729 A1 here: d11=0.798 hdg=10.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384731 A1 here: d11=0.806 hdg=10.3 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384732 A1 here: d11=0.787 hdg=326.7 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384733 A1 ping; homing on you; plz send goal-xy
1788384734 A1 here: d11=0.788 hdg=238.4 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384735 A1 here: d11=0.802 hdg=222.4 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384737 A1 here: d11=0.794 hdg=219.8 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384738 A1 here: d11=0.801 hdg=175.2 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384739 A1 ping; homing on you; plz send goal-xy
1788384740 A1 here: d11=0.800 hdg=80.8 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384742 A1 here: d11=0.792 hdg=75.5 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384743 A1: ridge position drifting NNE of old shelf. d11=0.81. Goal hunt in progress. Keep your xy stream on.
1788384744 A1 ping; homing on you; plz send goal-xy
1788384745 A1 ping; homing on you; plz send goal-xy
1788384746 A1 ping; homing on you; plz send goal-xy
1788384748 A1 here: d11=0.811 hdg=108.0 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384749 A1 here: d11=0.795 hdg=108.5 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384750 A1 ping; homing on you; plz send goal-xy
1788384751 A1 ping; homing on you; plz send goal-xy
1788384753 A1 here: d11=0.781 hdg=149.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384754 A1 here: d11=0.788 hdg=159.6 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384755 A1 here: d11=0.791 hdg=206.6 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384756 A1 here: d11=0.804 hdg=216.3 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384757 A1 ping; homing on you; plz send goal-xy
1788384759 A1 here: d11=0.795 hdg=254.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384760 A1 here: d11=0.800 hdg=260.0 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384761 A1 ping; homing on you; plz send goal-xy
1788384765 A1 here: d11=0.791 hdg=173.4 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384766 A1 here: d11=0.794 hdg=173.2 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384767 A1 here: d11=0.786 hdg=220.4 goal=0. R1 sweep to my RX-range; then hold+broadcast.
